county,precinct,office,district,candidate,party,votes
Bureau,ARISPIE,President,,BARBARA A. PROKOPICH,NP,0
Bureau,BERLIN,President,,BARBARA A. PROKOPICH,NP,0
Bureau,BUREAU,President,,BARBARA A. PROKOPICH,NP,0
Bureau,CLARION,President,,BARBARA A. PROKOPICH,NP,0
Bureau,CONCORD 1,President,,BARBARA A. PROKOPICH,NP,0
Bureau,CONCORD 2,President,,BARBARA A. PROKOPICH,NP,0
Bureau,DOVER,President,,BARBARA A. PROKOPICH,NP,0
Bureau,FAIRFIELD,President,,BARBARA A. PROKOPICH,NP,0
Bureau,GOLD,President,,BARBARA A. PROKOPICH,NP,0
Bureau,GREENVILLE,President,,BARBARA A. PROKOPICH,NP,0
Bureau,HALL 1,President,,BARBARA A. PROKOPICH,NP,0
Bureau,HALL 2,President,,BARBARA A. PROKOPICH,NP,0
Bureau,HALL 3,President,,BARBARA A. PROKOPICH,NP,0
Bureau,HALL 4,President,,BARBARA A. PROKOPICH,NP,0
Bureau,HALL 5,President,,BARBARA A. PROKOPICH,NP,0
Bureau,HALL 6,President,,BARBARA A. PROKOPICH,NP,0
Bureau,HALL 7,President,,BARBARA A. PROKOPICH,NP,0
Bureau,HALL 8,President,,BARBARA A. PROKOPICH,NP,0
Bureau,HALL 9,President,,BARBARA A. PROKOPICH,NP,0
Bureau,HALL 10,President,,BARBARA A. PROKOPICH,NP,0
Bureau,INDIANTOWN,President,,BARBARA A. PROKOPICH,NP,0
Bureau,LA MOILLE 1,President,,BARBARA A. PROKOPICH,NP,0
Bureau,LA MOILLE 2,President,,BARBARA A. PROKOPICH,NP,0
Bureau,LEEPERTOWN,President,,BARBARA A. PROKOPICH,NP,0
Bureau,MACON,President,,BARBARA A. PROKOPICH,NP,0
Bureau,MANLIUS,President,,BARBARA A. PROKOPICH,NP,0
Bureau,MILO,President,,BARBARA A. PROKOPICH,NP,0
Bureau,MINERAL,President,,BARBARA A. PROKOPICH,NP,0
Bureau,NEPONSET,President,,BARBARA A. PROKOPICH,NP,0
Bureau,OHIO 1,President,,BARBARA A. PROKOPICH,NP,0
Bureau,OHIO 2,President,,BARBARA A. PROKOPICH,NP,0
Bureau,PRINCETON 1,President,,BARBARA A. PROKOPICH,NP,0
Bureau,PRINCETON 2,President,,BARBARA A. PROKOPICH,NP,0
Bureau,PRINCETON 3,President,,BARBARA A. PROKOPICH,NP,0
Bureau,PRINCETON 4,President,,BARBARA A. PROKOPICH,NP,0
Bureau,PRINCETON 5,President,,BARBARA A. PROKOPICH,NP,0
Bureau,PRINCETON 6,President,,BARBARA A. PROKOPICH,NP,0
Bureau,PRINCETON 7,President,,BARBARA A. PROKOPICH,NP,0
Bureau,PRINCETON 8,President,,BARBARA A. PROKOPICH,NP,0
Bureau,PRINCETON 9,President,,BARBARA A. PROKOPICH,NP,0
Bureau,SELBY 1,President,,BARBARA A. PROKOPICH,NP,0
Bureau,SELBY 2,President,,BARBARA A. PROKOPICH,NP,0
Bureau,SELBY 3,President,,BARBARA A. PROKOPICH,NP,0
Bureau,WALNUT 1,President,,BARBARA A. PROKOPICH,NP,0
Bureau,WALNUT 2,President,,BARBARA A. PROKOPICH,NP,0
Bureau,WESTFIELD 1,President,,BARBARA A. PROKOPICH,NP,0
Bureau,WESTFIELD 2,President,,BARBARA A. PROKOPICH,NP,0
Bureau,WHEATLAND,President,,BARBARA A. PROKOPICH,NP,0
Bureau,WYANET 1,President,,BARBARA A. PROKOPICH,NP,0
Bureau,WYANET 2,President,,BARBARA A. PROKOPICH,NP,0
Bureau,ARISPIE,President,,CECIL JAMES ROTH,NP,0
Bureau,BERLIN,President,,CECIL JAMES ROTH,NP,0
Bureau,BUREAU,President,,CECIL JAMES ROTH,NP,0
Bureau,CLARION,President,,CECIL JAMES ROTH,NP,0
Bureau,CONCORD 1,President,,CECIL JAMES ROTH,NP,0
Bureau,CONCORD 2,President,,CECIL JAMES ROTH,NP,0
Bureau,DOVER,President,,CECIL JAMES ROTH,NP,0
Bureau,FAIRFIELD,President,,CECIL JAMES ROTH,NP,0
Bureau,GOLD,President,,CECIL JAMES ROTH,NP,0
Bureau,GREENVILLE,President,,CECIL JAMES ROTH,NP,0
Bureau,HALL 1,President,,CECIL JAMES ROTH,NP,0
Bureau,HALL 2,President,,CECIL JAMES ROTH,NP,0
