county,precinct,office,district,candidate,party,votes
Richland,Bonpas,Voters,,Registered,,284
Richland,Claremont,Voters,,Registered,,642
Richland,Decker,Voters,,Registered,,315
Richland,Denver,Voters,,Registered,,295
Richland,German,Voters,,Registered,,275
Richland,Madison 1,Voters,,Registered,,285
Richland,Madison 2,Voters,,Registered,,330
Richland,Noble 1,Voters,,Registered,,540
Richland,Noble 2,Voters,,Registered,,486
Richland,Olney 1,Voters,,Registered,,508
Richland,Olney 2,Voters,,Registered,,448
Richland,Olney 3,Voters,,Registered,,729
Richland,Olney 4,Voters,,Registered,,488
Richland,Olney 5,Voters,,Registered,,712
Richland,Olney 6,Voters,,Registered,,533
Richland,Olney 7,Voters,,Registered,,1085
Richland,Olney 8,Voters,,Registered,,534
Richland,Olney 9,Voters,,Registered,,928
Richland,Olney 10,Voters,,Registered,,595
Richland,Olney 11,Voters,,Registered,,590
Richland,Preston 1,Voters,,Registered,,640
Richland,Preston 2,Voters,,Registered,,313
Richland,RICHLAND IL,Voters,,Registered,,11555
Richland,Bonpas,Voters,,Ballots Cast Federal,,190
Richland,Claremont,Voters,,Ballots Cast Federal,,495
Richland,Decker,Voters,,Ballots Cast Federal,,215
Richland,Denver,Voters,,Ballots Cast Federal,,195
Richland,German,Voters,,Ballots Cast Federal,,195
Richland,Madison 1,Voters,,Ballots Cast Federal,,192
Richland,Madison 2,Voters,,Ballots Cast Federal,,215
Richland,Noble 1,Voters,,Ballots Cast Federal,,322
Richland,Noble 2,Voters,,Ballots Cast Federal,,292
Richland,Olney 1,Voters,,Ballots Cast Federal,,307
Richland,Olney 2,Voters,,Ballots Cast Federal,,281
Richland,Olney 3,Voters,,Ballots Cast Federal,,398
Richland,Olney 4,Voters,,Ballots Cast Federal,,267
Richland,Olney 5,Voters,,Ballots Cast Federal,,448
Richland,Olney 6,Voters,,Ballots Cast Federal,,326
Richland,Olney 7,Voters,,Ballots Cast Federal,,790
Richland,Olney 8,Voters,,Ballots Cast Federal,,275
Richland,Olney 9,Voters,,Ballots Cast Federal,,486
Richland,Olney 10,Voters,,Ballots Cast Federal,,385
Richland,Olney 11,Voters,,Ballots Cast Federal,,428
Richland,Preston 1,Voters,,Ballots Cast Federal,,479
Richland,Preston 2,Voters,,Ballots Cast Federal,,184
Richland,RICHLAND IL,Voters,,Ballots Cast Federal,,7365
Richland,Bonpas,Voters,,Ballots Cast State,,189
Richland,Claremont,Voters,,Ballots Cast State,,494
Richland,Decker,Voters,,Ballots Cast State,,215
Richland,Denver,Voters,,Ballots Cast State,,194
Richland,German,Voters,,Ballots Cast State,,195
Richland,Madison 1,Voters,,Ballots Cast State,,192
Richland,Madison 2,Voters,,Ballots Cast State,,215
Richland,Noble 1,Voters,,Ballots Cast State,,318
Richland,Noble 2,Voters,,Ballots Cast State,,292
Richland,Olney 1,Voters,,Ballots Cast State,,306
Richland,Olney 2,Voters,,Ballots Cast State,,281
Richland,Olney 3,Voters,,Ballots Cast State,,397
Richland,Olney 4,Voters,,Ballots Cast State,,262
Richland,Olney 5,Voters,,Ballots Cast State,,444
Richland,Olney 6,Voters,,Ballots Cast State,,324
Richland,Olney 7,Voters,,Ballots Cast State,,790
Richland,Olney 8,Voters,,Ballots Cast State,,272
Richland,Olney 9,Voters,,Ballots Cast State,,485
Richland,Olney 10,Voters,,Ballots Cast State,,384
Richland,Olney 11,Voters,,Ballots Cast State,,428
Richland,Preston 1,Voters,,Ballots Cast State,,479
Richland,Preston 2,Voters,,Ballots Cast State,,184
Richland,RICHLAND IL,Voters,,Ballots Cast State,,7340
