"county","precinct","office","district","party","candidate","votes"
"FRANKLIN","Six Mile 3","State House","28","Republican","DAVE SEVERIN","292"
"FRANKLIN","Barren","State House","28","Republican","DAVE SEVERIN","173"
"FRANKLIN","Tyrone 1","State House","28","Republican","DAVE SEVERIN","209"
"FRANKLIN","Six Mile 3","State House","28","Democrat","JOHN BRADLEY","291"
"FRANKLIN","Goode 1","State House","28","Democrat","JOHN BRADLEY","347"
"FRANKLIN","Northern","State House","28","Republican","DAVE SEVERIN","147"
"FRANKLIN","Denning 4","State House","28","Republican","DAVE SEVERIN","407"
"FRANKLIN","Frankfort 4","State House","28","Democrat","JOHN BRADLEY","364"
"FRANKLIN","Denning 1","State House","28","Republican","DAVE SEVERIN","197"
"FRANKLIN","Tyrone 4","State House","28","Democrat","JOHN BRADLEY","294"
"FRANKLIN","Browning 2","State House","28","Democrat","JOHN BRADLEY","278"
"FRANKLIN","Six Mile 2","State House","28","Democrat","JOHN BRADLEY","235"
"FRANKLIN","Cave","State House","28","Democrat","JOHN BRADLEY","329"
"FRANKLIN","Frankfort 2","State House","28","Democrat","JOHN BRADLEY","296"
"FRANKLIN","Denning 2","State House","28","Democrat","JOHN BRADLEY","222"
"FRANKLIN","Tyrone 5","State House","28","Republican","DAVE SEVERIN","166"
"FRANKLIN","Eastern","State House","28","Democrat","JOHN BRADLEY","127"
"FRANKLIN","Barren","State House","28","Democrat","JOHN BRADLEY","157"
"FRANKLIN","Frankfort 3","State House","28","Democrat","JOHN BRADLEY","310"
"FRANKLIN","Eastern","State House","28","Republican","DAVE SEVERIN","202"
"FRANKLIN","Frankfort 4","State House","28","Republican","DAVE SEVERIN","517"
"FRANKLIN","Benton 3","State House","28","Democrat","JOHN BRADLEY","146"
"FRANKLIN","Benton 6","State House","28","Democrat","JOHN BRADLEY","107"
"FRANKLIN","Benton 1","State House","28","Republican","DAVE SEVERIN","417"
"FRANKLIN","Tyrone 4","State House","28","Republican","DAVE SEVERIN","304"
"FRANKLIN","Benton 4","State House","28","Democrat","JOHN BRADLEY","284"
"FRANKLIN","Denning 4","State House","28","Democrat","JOHN BRADLEY","366"
"FRANKLIN","Denning 2","State House","28","Republican","DAVE SEVERIN","193"
"FRANKLIN","Denning 1","State House","28","Democrat","JOHN BRADLEY","196"
"FRANKLIN","Denning 5","State House","28","Republican","DAVE SEVERIN","164"
"FRANKLIN","Benton 2","State House","28","Democrat","JOHN BRADLEY","247"
"FRANKLIN","Benton 5","State House","28","Democrat","JOHN BRADLEY","484"
"FRANKLIN","Benton 3","State House","28","Republican","DAVE SEVERIN","170"
"FRANKLIN","Denning 5","State House","28","Democrat","JOHN BRADLEY","221"
"FRANKLIN","Denning 3","State House","28","Republican","DAVE SEVERIN","135"
"FRANKLIN","Tyrone 2","State House","28","Republican","DAVE SEVERIN","348"
"FRANKLIN","Tyrone 2","State House","28","Democrat","JOHN BRADLEY","345"
"FRANKLIN","Tyrone 5","State House","28","Democrat","JOHN BRADLEY","156"
"FRANKLIN","Tyrone 3","State House","28","Democrat","JOHN BRADLEY","147"
"FRANKLIN","Frankfort 3","State House","28","Republican","DAVE SEVERIN","311"
"FRANKLIN","Northern","State House","28","Democrat","JOHN BRADLEY","74"
"FRANKLIN","Benton 1","State House","28","Democrat","JOHN BRADLEY","226"
"FRANKLIN","Tyrone 3","State House","28","Republican","DAVE SEVERIN","123"
"FRANKLIN","Frankfort 2","State House","28","Republican","DAVE SEVERIN","269"
"FRANKLIN","Frankfort 1","State House","28","Democrat","JOHN BRADLEY","429"
"FRANKLIN","Ewing 1","State House","28","Republican","DAVE SEVERIN","160"
"FRANKLIN","Ewing 2","State House","28","Democrat","JOHN BRADLEY","189"
"FRANKLIN","Browning 3","State House","28","Republican","DAVE SEVERIN","138"
"FRANKLIN","Ewing 1","State House","28","Democrat","JOHN BRADLEY","121"
"FRANKLIN","Browning 2","State House","28","Republican","DAVE SEVERIN","336"
"FRANKLIN","Browning 3","State House","28","Democrat","JOHN BRADLEY","122"
"FRANKLIN","Browning 1","State House","28","Republican","DAVE SEVERIN","174"
"FRANKLIN","Six Mile 1","State House","28","Republican","DAVE SEVERIN","297"
"FRANKLIN","Browning 1","State House","28","Democrat","JOHN BRADLEY","186"
"FRANKLIN","Six Mile 1","State House","28","Democrat","JOHN BRADLEY","393"
"FRANKLIN","Goode 1","State House","28","Republican","DAVE SEVERIN","386"
"FRANKLIN","Benton 6","State House","28","Republican","DAVE SEVERIN","158"
"FRANKLIN","Cave","State House","28","Republican","DAVE SEVERIN","554"
"FRANKLIN","Denning 3","State House","28","Democrat","JOHN BRADLEY","124"
"FRANKLIN","Goode 2","State House","28","Republican","DAVE SEVERIN","309"
"FRANKLIN","Benton 4","State House","28","Republican","DAVE SEVERIN","338"
"FRANKLIN","Benton 7","State House","28","Republican","DAVE SEVERIN","279"
"FRANKLIN","Tyrone 1","State House","28","Democrat","JOHN BRADLEY","217"
"FRANKLIN","Frankfort 1","State House","28","Republican","DAVE SEVERIN","585"
"FRANKLIN","Goode 2","State House","28","Democrat","JOHN BRADLEY","329"
"FRANKLIN","Benton 7","State House","28","Democrat","JOHN BRADLEY","187"
"FRANKLIN","Benton 2","State House","28","Republican","DAVE SEVERIN","397"
"FRANKLIN","Benton 5","State House","28","Republican","DAVE SEVERIN","627"
"FRANKLIN","Ewing 2","State House","28","Republican","DAVE SEVERIN","225"
"FRANKLIN","Six Mile 2","State House","28","Republican","DAVE SEVERIN","219"
"FRANKLIN","Ewing 1","State Senate","28","Democrat","GARY FORBY","133"
"FRANKLIN","Ewing 2","State Senate","28","Democrat","GARY FORBY","227"
"FRANKLIN","Browning 2","State Senate","28","Democrat","GARY FORBY","341"
"FRANKLIN","Browning 3","State Senate","28","Republican","DALE FOWLER","127"
"FRANKLIN","Frankfort 1","State Senate","28","Democrat","GARY FORBY","400"
"FRANKLIN","Six Mile 1","State Senate","28","Democrat","GARY FORBY","387"
"FRANKLIN","Cave","State Senate","28","Republican","DALE FOWLER","549"
"FRANKLIN","Six Mile 3","State Senate","28","Republican","DALE FOWLER","303"
"FRANKLIN","Benton 3","State Senate","28","Democrat","GARY FORBY","162"
"FRANKLIN","Denning 3","State Senate","28","Democrat","GARY FORBY","117"
"FRANKLIN","Denning 4","State Senate","28","Republican","DALE FOWLER","432"
"FRANKLIN","Tyrone 4","State Senate","28","Republican","DALE FOWLER","301"
"FRANKLIN","Benton 2","State Senate","28","Democrat","GARY FORBY","340"
"FRANKLIN","Denning 2","State Senate","28","Democrat","GARY FORBY","199"
"FRANKLIN","Denning 5","State Senate","28","Democrat","GARY FORBY","217"
"FRANKLIN","Cave","State Senate","28","Democrat","GARY FORBY","328"
"FRANKLIN","Goode 2","State Senate","28","Republican","DALE FOWLER","291"
"FRANKLIN","Northern","State Senate","28","Republican","DALE FOWLER","110"
"FRANKLIN","Benton 4","State Senate","28","Republican","DALE FOWLER","283"
"FRANKLIN","Benton 1","State Senate","28","Democrat","GARY FORBY","303"
"FRANKLIN","Benton 7","State Senate","28","Democrat","GARY FORBY","242"
"FRANKLIN","Denning 4","State Senate","28","Democrat","GARY FORBY","350"
"FRANKLIN","Benton 2","State Senate","28","Republican","DALE FOWLER","304"
"FRANKLIN","Denning 2","State Senate","28","Republican","DALE FOWLER","217"
"FRANKLIN","Denning 5","State Senate","28","Republican","DALE FOWLER","162"
"FRANKLIN","Frankfort 3","State Senate","28","Democrat","GARY FORBY","315"
"FRANKLIN","Six Mile 2","State Senate","28","Democrat","GARY FORBY","217"
"FRANKLIN","Goode 1","State Senate","28","Republican","DALE FOWLER","334"
"FRANKLIN","Benton 6","State Senate","28","Republican","DALE FOWLER","131"
"FRANKLIN","Denning 3","State Senate","28","Republican","DALE FOWLER","141"
"FRANKLIN","Browning 3","State Senate","28","Democrat","GARY FORBY","132"
"FRANKLIN","Ewing 1","State Senate","28","Republican","DALE FOWLER","146"
"FRANKLIN","Tyrone 2","State Senate","28","Democrat","GARY FORBY","317"
"FRANKLIN","Eastern","State Senate","28","Democrat","GARY FORBY","150"
"FRANKLIN","Browning 2","State Senate","28","Republican","DALE FOWLER","276"
"FRANKLIN","Denning 1","State Senate","28","Republican","DALE FOWLER","204"
"FRANKLIN","Six Mile 2","State Senate","28","Republican","DALE FOWLER","232"
"FRANKLIN","Frankfort 4","State Senate","28","Democrat","GARY FORBY","381"
"FRANKLIN","Frankfort 2","State Senate","28","Republican","DALE FOWLER","288"
"FRANKLIN","Tyrone 5","State Senate","28","Democrat","GARY FORBY","156"
"FRANKLIN","Browning 1","State Senate","28","Democrat","GARY FORBY","174"
"FRANKLIN","Tyrone 1","State Senate","28","Democrat","GARY FORBY","217"
"FRANKLIN","Tyrone 4","State Senate","28","Democrat","GARY FORBY","295"
"FRANKLIN","Tyrone 2","State Senate","28","Republican","DALE FOWLER","372"
"FRANKLIN","Frankfort 1","State Senate","28","Republican","DALE FOWLER","614"
"FRANKLIN","Frankfort 4","State Senate","28","Republican","DALE FOWLER","503"
"FRANKLIN","Benton 5","State Senate","28","Democrat","GARY FORBY","608"
"FRANKLIN","Six Mile 3","State Senate","28","Democrat","GARY FORBY","280"
"FRANKLIN","Frankfort 3","State Senate","28","Republican","DALE FOWLER","306"
"FRANKLIN","Browning 1","State Senate","28","Republican","DALE FOWLER","183"
"FRANKLIN","Six Mile 1","State Senate","28","Republican","DALE FOWLER","307"
"FRANKLIN","Tyrone 3","State Senate","28","Democrat","GARY FORBY","135"
"FRANKLIN","Frankfort 2","State Senate","28","Democrat","GARY FORBY","273"
"FRANKLIN","Tyrone 1","State Senate","28","Republican","DALE FOWLER","210"
"FRANKLIN","Barren","State Senate","28","Democrat","GARY FORBY","155"
"FRANKLIN","Tyrone 5","State Senate","28","Republican","DALE FOWLER","170"
"FRANKLIN","Eastern","State Senate","28","Republican","DALE FOWLER","179"
"FRANKLIN","Denning 1","State Senate","28","Democrat","GARY FORBY","189"
"FRANKLIN","Barren","State Senate","28","Republican","DALE FOWLER","177"
"FRANKLIN","Northern","State Senate","28","Democrat","GARY FORBY","114"
"FRANKLIN","Benton 5","State Senate","28","Republican","DALE FOWLER","502"
"FRANKLIN","Ewing 2","State Senate","28","Republican","DALE FOWLER","190"
"FRANKLIN","Tyrone 3","State Senate","28","Republican","DALE FOWLER","132"
"FRANKLIN","Goode 1","State Senate","28","Democrat","GARY FORBY","396"
"FRANKLIN","Benton 7","State Senate","28","Republican","DALE FOWLER","226"
"FRANKLIN","Benton 3","State Senate","28","Republican","DALE FOWLER","154"
"FRANKLIN","Benton 6","State Senate","28","Democrat","GARY FORBY","138"
"FRANKLIN","Benton 1","State Senate","28","Republican","DALE FOWLER","341"
"FRANKLIN","Goode 2","State Senate","28","Democrat","GARY FORBY","346"
"FRANKLIN","Benton 4","State Senate","28","Democrat","GARY FORBY","336"
"FRANKLIN","Eastern","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","84"
"FRANKLIN","Frankfort 1","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","231"
"FRANKLIN","Frankfort 1","U.S. House","28","Republican","MICHAEL BOST","732"
"FRANKLIN","Frankfort 4","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","233"
"FRANKLIN","Frankfort 2","U.S. House","28","Republican","MICHAEL BOST","359"
"FRANKLIN","Ewing 2","U.S. House","28","Green","PAULA BRADSHAW","16"
"FRANKLIN","Browning 2","U.S. House","28","Green","PAULA BRADSHAW","42"
"FRANKLIN","Benton 3","U.S. House","28","Green","PAULA BRADSHAW","13"
"FRANKLIN","Benton 6","U.S. House","28","Green","PAULA BRADSHAW","16"
"FRANKLIN","Six Mile 2","U.S. House","28","Republican","MICHAEL BOST","268"
"FRANKLIN","Cave","U.S. House","28","Republican","MICHAEL BOST","651"
"FRANKLIN","Northern","U.S. House","28","Green","PAULA BRADSHAW","16"
"FRANKLIN","Tyrone 3","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","89"
"FRANKLIN","Frankfort 2","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","155"
"FRANKLIN","Frankfort 1","U.S. House","28","Green","PAULA BRADSHAW","44"
"FRANKLIN","Northern","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","59"
"FRANKLIN","Benton 4","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","193"
"FRANKLIN","Denning 5","U.S. House","28","Republican","MICHAEL BOST","225"
"FRANKLIN","Benton 6","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","91"
"FRANKLIN","Cave","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","187"
"FRANKLIN","Benton 1","U.S. House","28","Republican","MICHAEL BOST","445"
"FRANKLIN","Benton 4","U.S. House","28","Republican","MICHAEL BOST","379"
"FRANKLIN","Benton 5","U.S. House","28","Green","PAULA BRADSHAW","51"
"FRANKLIN","Benton 3","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","93"
"FRANKLIN","Denning 3","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","82"
"FRANKLIN","Denning 1","U.S. House","28","Republican","MICHAEL BOST","235"
"FRANKLIN","Denning 4","U.S. House","28","Republican","MICHAEL BOST","508"
"FRANKLIN","Six Mile 3","U.S. House","28","Republican","MICHAEL BOST","362"
"FRANKLIN","Barren","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","96"
"FRANKLIN","Tyrone 1","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","129"
"FRANKLIN","Tyrone 4","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","187"
"FRANKLIN","Frankfort 4","U.S. House","28","Republican","MICHAEL BOST","601"
"FRANKLIN","Frankfort 2","U.S. House","28","Green","PAULA BRADSHAW","53"
"FRANKLIN","Browning 1","U.S. House","28","Green","PAULA BRADSHAW","21"
"FRANKLIN","Goode 1","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","288"
"FRANKLIN","Goode 2","U.S. House","28","Republican","MICHAEL BOST","330"
"FRANKLIN","Northern","U.S. House","28","Republican","MICHAEL BOST","144"
"FRANKLIN","Benton 7","U.S. House","28","Republican","MICHAEL BOST","292"
"FRANKLIN","Benton 2","U.S. House","28","Green","PAULA BRADSHAW","32"
"FRANKLIN","Denning 2","U.S. House","28","Green","PAULA BRADSHAW","28"
"FRANKLIN","Denning 5","U.S. House","28","Green","PAULA BRADSHAW","19"
"FRANKLIN","Tyrone 1","U.S. House","28","Republican","MICHAEL BOST","275"
"FRANKLIN","Eastern","U.S. House","28","Green","PAULA BRADSHAW","13"
"FRANKLIN","Goode 2","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","271"
"FRANKLIN","Denning 3","U.S. House","28","Green","PAULA BRADSHAW","19"
"FRANKLIN","Tyrone 2","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","236"
"FRANKLIN","Ewing 2","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","124"
"FRANKLIN","Browning 2","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","180"
"FRANKLIN","Frankfort 3","U.S. House","28","Republican","MICHAEL BOST","398"
"FRANKLIN","Six Mile 2","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","161"
"FRANKLIN","Six Mile 1","U.S. House","28","Green","PAULA BRADSHAW","23"
"FRANKLIN","Tyrone 5","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","106"
"FRANKLIN","Frankfort 3","U.S. House","28","Green","PAULA BRADSHAW","39"
"FRANKLIN","Browning 1","U.S. House","28","Republican","MICHAEL BOST","219"
"FRANKLIN","Ewing 2","U.S. House","28","Republican","MICHAEL BOST","267"
"FRANKLIN","Browning 2","U.S. House","28","Republican","MICHAEL BOST","385"
"FRANKLIN","Browning 3","U.S. House","28","Green","PAULA BRADSHAW","12"
"FRANKLIN","Ewing 1","U.S. House","28","Green","PAULA BRADSHAW","16"
"FRANKLIN","Tyrone 2","U.S. House","28","Republican","MICHAEL BOST","405"
"FRANKLIN","Eastern","U.S. House","28","Republican","MICHAEL BOST","230"
"FRANKLIN","Six Mile 3","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","195"
"FRANKLIN","Goode 1","U.S. House","28","Green","PAULA BRADSHAW","30"
"FRANKLIN","Ewing 1","U.S. House","28","Republican","MICHAEL BOST","181"
"FRANKLIN","Six Mile 1","U.S. House","28","Republican","MICHAEL BOST","440"
"FRANKLIN","Barren","U.S. House","28","Green","PAULA BRADSHAW","20"
"FRANKLIN","Barren","U.S. House","28","Republican","MICHAEL BOST","220"
"FRANKLIN","Tyrone 4","U.S. House","28","Republican","MICHAEL BOST","374"
"FRANKLIN","Tyrone 5","U.S. House","28","Green","PAULA BRADSHAW","10"
"FRANKLIN","Frankfort 4","U.S. House","28","Green","PAULA BRADSHAW","45"
"FRANKLIN","Tyrone 3","U.S. House","28","Republican","MICHAEL BOST","159"
"FRANKLIN","Tyrone 1","U.S. House","28","Green","PAULA BRADSHAW","17"
"FRANKLIN","Browning 3","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","80"
"FRANKLIN","Six Mile 2","U.S. House","28","Green","PAULA BRADSHAW","22"
"FRANKLIN","Cave","U.S. House","28","Green","PAULA BRADSHAW","40"
"FRANKLIN","Denning 1","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","129"
"FRANKLIN","Tyrone 2","U.S. House","28","Green","PAULA BRADSHAW","46"
"FRANKLIN","Benton 5","U.S. House","28","Democrat","CHARLES "C.J." BARICEVIC","354"
"FRANKLIN","Goode 1","U.S. House","28","Republican","MICHAEL BOST","406"
"FRANKLIN","Benton 6","U.S. House","28","Republican","MICHAEL BOST","158"
"FRANKLIN","Denning 3","U.S. House","28","Republican","MICHAEL BOST","154"
